short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot
G. Dzhikiya,Georgiy Dzhikiya,77,27,1993-11-21,188,86,LCB,Defender,Spartak Moskva,Russian Premier League,Russia,14,Left
Z. Ferhat,Zinedine Ferhat,77,28,1993-03-01,183,70,LM,Midfield,Nîmes Olympique,French Ligue 2,Algeria,10,Right
Unai López,Unai López Cabrera,77,25,1995-10-30,170,69,RDM,Midfield,Rayo Vallecano,Spain Primera Division,Spain,12,Right
M. Holgate,Mason Holgate,77,24,1996-10-22,184,75,RCB,Defender,Everton,English Premier League,England,4,Right
E. Skhiri,Ellyes Joris Skhiri,77,26,1995-05-10,185,73,CDM,Midfield,1. FC Köln,German 1. Bundesliga,Tunisia,28,Right
Rubén Duarte,Rubén Duarte Sánchez,77,25,1995-10-18,180,75,LB,Defender,Deportivo Alavés,Spain Primera Division,Spain,3,Left
A. Rossi,Agustín Daniel Rossi,77,25,1995-08-21,195,95,GK,GK,Boca Juniors,Argentina Primera División,Argentina,1,Right
B. Romero,Braian Ezequiel Romero,77,30,1991-06-15,178,73,RS,Forward,River Plate,Argentina Primera División,Argentina,19,Right
M. Marega,Moussa Marega,77,30,1991-04-14,183,83,RS,Forward,Al Hilal,Saudi Abdul L. Jameel League,Mali,17,Right
Pedraza,Alfonso Pedraza Sag,77,25,1996-04-09,184,73,LB,Defender,Villarreal CF,Spain Primera Division,Spain,24,Left
M. Rashica,Milot Rashica,77,25,1996-06-28,177,73,LM,Midfield,Norwich City,English Premier League,Kosovo,17,Right
Y. Soteldo,Yeferson Julio Soteldo Martínez,77,24,1997-06-30,158,55,LM,Midfield,Toronto FC,USA Major League Soccer,Venezuela,30,Right
L. Romo,Luis Francisco Romo Barrón,77,26,1995-06-05,182,84,CDM,Midfield,Cruz Azul,Mexican Liga MX,Mexico,7,Right
A. Bayındır,Altay Bayındır,77,23,1998-04-14,198,73,GK,GK,Fenerbahçe SK,Turkish Süper Lig,Turkey,1,Right
B. Sosa,Borna Sosa,77,23,1998-01-21,187,79,LM,Midfield,VfB Stuttgart,German 1. Bundesliga,Croatia,24,Left
D. McNeil,Dwight McNeil,77,21,1999-11-22,183,70,LM,Midfield,Burnley,English Premier League,England,11,Left
I. Meslier,Illan Meslier,77,21,2000-03-02,196,74,GK,GK,Leeds United,English Premier League,France,1,Left
E. Reynoso,Emanuel Reynoso,77,25,1995-11-16,176,67,CAM,Midfield,Minnesota United FC,USA Major League Soccer,Argentina,10,Left
A. Nwakaeme,Anthony Nuatuzor Nwakaeme,77,32,1989-03-21,185,80,LW,Forward,Trabzonspor,Turkish Süper Lig,Nigeria,9,Right
M. Damsgaard,Mikkel Krogh Damsgaard,77,20,2000-07-03,180,71,LM,Midfield,U.C. Sampdoria,Italian Serie A,Denmark,38,Right
S. Tonali,Sandro Tonali,77,21,2000-05-08,181,79,RDM,Midfield,AC Milan,Italian Serie A,Italy,8,Right
Gorosabel,Andoni Gorosabel Espinosa,77,24,1996-08-04,174,70,RB,Defender,Real Sociedad,Spain Primera Division,Spain,18,Right
L. Suárez,Luis Javier Suárez Charris,77,23,1997-12-02,185,74,LM,Midfield,Granada CF,Spain Primera Division,Colombia,9,Right
G. Reyna,Giovanni Alejandro Reyna,77,18,2002-11-13,185,79,LCM,Midfield,Borussia Dortmund,German 1. Bundesliga,United States,7,Right
Arthur Cabral,Arthur Mendonça Cabral,77,23,1998-04-25,186,89,ST,Forward,FC Basel 1893,Swiss Super League,Brazil,10,Right
J. Doku,Jérémy Doku,77,19,2002-05-27,171,60,RM,Midfield,Stade Rennais FC,French Ligue 1,Belgium,11,Right
Ibañez,Roger Ibañez Da Silva,77,22,1998-11-23,185,73,LCB,Defender,Roma,Italian Serie A,Brazil,3,Right
T. Holeš,Tomáš Holeš,77,28,1993-03-31,180,73,LCB,Defender,SK Slavia Praha,Czech Republic Gambrinus Liga,Czech Republic,3,Right
S. Weissman,Shon Zalman Weissman,77,25,1996-02-14,174,79,ST,Forward,Real Valladolid CF,Spanish Segunda División,Israel,9,Right
A. Musrati,Almoatasembellah Ali Mohamed Al musrati,77,25,1996-04-06,189,83,LCM,Midfield,SC Braga,Portuguese Liga ZON SAGRES,Libya,8,Right
J. Veerman,Joey Veerman,77,22,1998-11-19,185,75,LDM,Midfield,SC Heerenveen,Holland Eredivisie,Netherlands,20,Right
N. Madueke,Chukwunonso Tristan Madueke,77,19,2002-03-10,182,70,RAM,Midfield,PSV,Holland Eredivisie,England,10,Left
M. Oršić,Mislav Oršić,77,28,1992-12-29,179,69,LM,Midfield,Dinamo Zagreb,Croatian Prva HNL,Croatia,99,Right
N. González,Nicolás Iván González,77,23,1998-04-06,180,72,LW,Forward,Fiorentina,Italian Serie A,Argentina,22,Left
V. Rosier,Valentin André Henri Rosier,77,24,1996-08-19,175,75,RB,Defender,Beşiktaş JK,Turkish Süper Lig,France,2,Right
Salvi Sánchez,Salvador Sánchez Ponce,77,30,1991-03-30,175,64,RM,Midfield,Cádiz CF,Spain Primera Division,Spain,7,Right
F. Müller,Florian Müller,77,23,1997-11-13,190,88,GK,GK,VfB Stuttgart,German 1. Bundesliga,Germany,1,Left
I. Sangaré,Ibrahim Sangaré,77,23,1997-12-02,191,77,LDM,Midfield,PSV,Holland Eredivisie,Côte d'Ivoire,6,Right
E. Álvarez,Edson Omar Álvarez Velázquez,77,23,1997-10-24,187,73,RCM,Midfield,Ajax,Holland Eredivisie,Mexico,4,Right
C. Ünder,Cengiz Ünder,77,23,1997-07-14,173,66,RM,Midfield,Olympique de Marseille,French Ligue 1,Turkey,17,Left
F. Bustos,Fabricio Bustos Sein,77,25,1996-04-28,167,66,RB,Defender,Club Atlético Independiente,Argentina Primera División,Argentina,16,Right
Douglas Luiz,Douglas Luiz Soares de Paulo,77,23,1998-05-09,175,66,CDM,Midfield,Aston Villa,English Premier League,Brazil,6,Right
F. Gorriarán,Fernando Gorriarán Fontes,77,26,1994-11-27,168,68,LDM,Midfield,Santos Laguna,Mexican Liga MX,Uruguay,11,Right
C. Stengs,Calvin Stengs,77,22,1998-12-18,187,68,RM,Midfield,OGC Nice,French Ligue 1,Netherlands,22,Left
D. Szoboszlai,Dominik Szoboszlai,77,20,2000-10-25,186,74,RAM,Midfield,RB Leipzig,German 1. Bundesliga,Hungary,17,Right
M. Terrier,Martin Terrier,77,24,1997-03-04,184,73,RS,Forward,Stade Rennais FC,French Ligue 1,France,7,Right
M. Camara,Mohamed Mady Camara,77,24,1997-02-28,182,75,RCM,Midfield,Olympiacos CFP,Greek Super League,Guinea,4,Right
T. Malacia,Tyrell Malacia,77,21,1999-08-17,169,67,LB,Defender,Feyenoord,Holland Eredivisie,Netherlands,15,Left
Wilson Manafá,Wilson Miguéis Manafá Jancó,77,26,1994-07-23,177,69,LB,Defender,FC Porto,Portuguese Liga ZON SAGRES,Portugal,18,Right
J. Clauss,Jonathan Clauss,77,28,1992-09-25,178,67,RWB,Defender,Racing Club de Lens,French Ligue 1,France,11,Right
Galeno,Wenderson Rodrigues do Nascimento Galeno,77,23,1997-10-22,179,62,LM,Midfield,SC Braga,Portuguese Liga ZON SAGRES,Brazil,90,Right
J. Lascelles,Jamaal Lascelles,77,27,1993-11-11,188,83,CB,Defender,Newcastle United,English Premier League,England,6,Right
